age,income,loan_amount,credit_score,loan_term,missed_payments,employment_years,target
40,52680,4797,767,18,1,2,1
37,54904,21775,564,12,2,3,0
37,70302,21750,646,48,1,23,0
53,60234,26735,562,24,2,6,0
34,71796,28775,693,12,3,6,0
23,91272,4083,662,30,2,7,0
36,41571,23717,776,36,3,8,0
41,60872,28304,671,18,3,23,0
24,95932,5183,778,30,2,5,0
37,93036,5988,658,48,0,10,0
55,32808,3866,597,12,2,13,0
25,26509,12920,677,18,0,1,0
37,45075,17916,688,18,0,7,1
50,79123,20055,745,36,0,17,1
21,48405,20080,577,48,1,21,0
55,30263,6671,671,48,1,11,0
60,90452,16740,665,48,1,9,0
41,31152,16030,634,24,1,9,0
56,21776,2133,737,12,1,15,0
56,79455,13378,755,24,0,7,1
47,96003,22524,568,30,2,18,0
25,27366,14440,790,18,2,14,0
35,91048,22344,611,12,0,12,0
38,43839,14038,742,48,3,11,0
52,98553,26318,700,24,2,6,0
51,59183,29900,671,36,1,16,0
21,93168,18306,573,12,1,6,0
46,38325,10677,776,48,3,11,0
53,53190,8744,609,12,1,14,0
46,56769,4372,632,12,3,3,0
57,28611,23704,763,12,0,11,0
55,39167,12302,789,48,2,1,0
27,58083,4812,711,36,1,4,1
42,25156,17412,759,24,2,20,0
39,24719,9129,639,18,0,3,0
29,45533,8709,755,18,0,11,1
37,91814,12611,591,30,3,22,0
29,28652,29916,733,18,3,7,0
37,85722,16175,563,18,0,2,0
42,63948,28962,767,36,0,6,1
59,50673,25140,768,12,1,16,1
46,85388,27359,572,48,3,13,0
56,83651,26641,703,12,0,18,1
44,32870,4015,705,36,2,25,0
51,73389,4050,575,18,2,5,0
43,69922,11806,774,30,0,23,1
48,89219,12515,584,24,3,6,0
23,99674,25843,581,48,2,19,0
43,82948,29386,768,36,0,6,1
25,98759,25250,776,30,3,20,0
48,85588,18955,624,30,0,13,0
43,69457,13755,634,24,2,8,0
59,44161,20540,606,36,3,10,0
21,65254,15541,644,36,1,24,0
22,64214,14621,759,36,3,8,0
41,81680,29455,691,48,1,19,1
59,38720,18240,739,36,2,24,0
50,92991,16907,650,30,2,23,0
49,30425,11533,588,48,2,14,0
47,32910,9862,783,30,0,19,1
48,25438,18068,631,18,0,12,0
40,76638,4644,576,48,2,7,0
30,35688,14020,647,12,3,1,0
46,57852,11187,773,36,1,21,1
34,82000,4651,663,30,2,9,0
23,80529,5909,627,36,2,10,0
59,81871,16108,567,24,0,3,0
25,84198,25200,581,36,0,25,0
45,72006,5629,681,12,1,5,1
25,32006,4117,754,24,1,21,1
35,98258,24120,714,12,3,24,0
57,36395,3231,586,12,3,20,0
34,69791,11618,645,48,0,4,0
53,84104,21340,553,18,3,22,0
22,27523,19076,550,18,3,12,0
39,95003,29962,679,24,2,20,0
59,57102,9394,610,18,2,14,0
48,46757,27391,734,24,3,23,0
43,30825,25170,651,18,3,3,0
22,78941,26479,650,12,2,13,0
23,59289,2462,677,36,1,14,0
29,46346,22666,788,18,2,7,0
34,22143,25409,700,48,3,20,0
23,67490,17067,579,36,0,24,0
51,41201,13647,648,30,0,14,0
35,31685,17249,723,24,1,13,1
50,68382,6032,613,48,1,23,0
45,20282,7049,553,18,0,9,0
31,82141,29941,590,36,3,20,0
45,96934,20524,750,18,0,16,1
45,70828,24655,632,12,0,13,0
30,71942,29804,663,48,0,12,0
38,20039,9453,616,48,2,13,0
25,43935,20237,598,36,3,12,0
28,89932,6535,709,36,2,3,0
26,66423,28329,781,24,1,2,1
49,45578,29848,752,12,0,20,1
42,61028,23486,736,24,0,12,1
37,91432,7461,727,24,0,9,1
30,61831,6495,793,36,3,15,0
46,25873,25782,739,18,0,12,0
33,27624,24521,584,36,3,7,0
28,57519,5527,560,12,2,17,0
44,61676,5094,617,24,2,21,0
37,22882,18309,774,36,1,22,0
21,63409,26740,702,48,0,9,1
46,37622,22649,626,24,1,12,0
44,44070,27929,736,30,1,10,1
58,86877,21219,650,30,3,16,0
34,61633,29667,786,18,0,22,1
28,54394,20367,703,12,0,22,1
25,36245,7312,559,24,2,18,0
50,63364,12853,684,36,2,8,0
24,89819,14235,754,36,2,5,0
58,20497,24005,595,18,0,13,0
41,56875,27585,632,36,2,18,0
42,97616,10200,713,18,2,10,0
48,94926,13624,552,18,1,5,0
29,31369,21502,684,18,3,9,0
25,54119,17407,778,36,3,7,0
